Started at: Thu Oct 30 04:32:23 PM SAST 2025
LETS COOOK IT UPPP

======================================================================
NO EXISTING MODEL FOUND - STARTING FRESH TRAINING
======================================================================

Using cuda device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Wrapping the env in a VecTransposeImage.

======================================================================
STARTING NEW TRAINING
Target total: 1,000,000 steps
======================================================================

Logging to ./PPO_crafter_tensorboard/PPO_14
---------------------------------
| rollout/           |          |
|    ep_len_mean          | 165       |
|    ep_rew_mean          | 2.91      |
| time/                   |           |
|    fps                  | 96        |
|    iterations           | 117       |
|    time_elapsed         | 2495      |
|    total_timesteps      | 239616    |
| train/                  |           |
|    approx_kl            | 0.1172837 |
|    clip_fraction        | 0.59      |
|    clip_range           | 0.2       |
|    entropy_loss         | -2.27     |
|    explained_variance   | 0.731     |
|    learning_rate        | 0.0003    |
|    loss                 | -0.144    |
|    n_updates            | 1160      |
|    policy_gradient_loss | -0.0957   |
|    value_loss           | 0.0504    |
---------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 165        |
|    ep_rew_mean          | 3.05       |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 118        |
|    time_elapsed         | 2515       |
|    total_timesteps      | 241664     |
| train/                  |            |
|    approx_kl            | 0.12072921 |
|    clip_fraction        | 0.586      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.27      |
|    explained_variance   | 0.75       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.14      |
|    n_updates            | 1170       |
|    policy_gradient_loss | -0.0987    |
|    value_loss           | 0.0487     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 172         |
|    ep_rew_mean          | 3.12        |
| time/                   |             |
|    fps                  | 96          |
|    iterations           | 119         |
|    time_elapsed         | 2534        |
|    total_timesteps      | 243712      |
| train/                  |             |
|    approx_kl            | 0.124133505 |
|    clip_fraction        | 0.605       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.24       |
|    explained_variance   | 0.791       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.16       |
|    n_updates            | 1180        |
|    policy_gradient_loss | -0.0992     |
|    value_loss           | 0.0476      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 173        |
|    ep_rew_mean          | 3.1        |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 120        |
|    time_elapsed         | 2555       |
|    total_timesteps      | 245760     |
| train/                  |            |
|    approx_kl            | 0.12271716 |
|    clip_fraction        | 0.591      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.33      |
|    explained_variance   | 0.755      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.156     |
|    n_updates            | 1190       |
|    policy_gradient_loss | -0.0939    |
|    value_loss           | 0.0498     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 170        |
|    ep_rew_mean          | 3.07       |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 121        |
|    time_elapsed         | 2578       |
|    total_timesteps      | 247808     |
| train/                  |            |
|    approx_kl            | 0.10435598 |
|    clip_fraction        | 0.572      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.31      |
|    explained_variance   | 0.742      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.126     |
|    n_updates            | 1200       |
|    policy_gradient_loss | -0.0955    |
|    value_loss           | 0.0536     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 168        |
|    ep_rew_mean          | 3.04       |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 122        |
|    time_elapsed         | 2601       |
|    total_timesteps      | 249856     |
| train/                  |            |
|    approx_kl            | 0.11176251 |
|    clip_fraction        | 0.576      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.33      |
|    explained_variance   | 0.745      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.12      |
|    n_updates            | 1210       |
|    policy_gradient_loss | -0.0979    |
|    value_loss           | 0.0544     |
----------------------------------------
Eval num_timesteps=250000, episode_reward=1.30 +/- 1.17
Episode length: 181.40 +/- 16.18
----------------------------------------
| eval/                   |            |
|    mean_ep_length       | 181        |
|    mean_reward          | 1.3        |
